Submission,name,GenomeCov,MeanDepth,pcMapped,group,Ncount,ResultLoc,Clade,Identifier,Host,Animal_Type,SlaughterDate,PreciseLocation,CPH_Type,County,RiskArea,Loc0,OutsideHomeRange,Gender,wsdBirthDate,Disclosing_Test,Import_Country,PreviousMovement,MoveCount
AF-12-01386-20,AF-12-01386-20,99.93,42.13,85.38,B6-85,51294,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-01094-20,AF-21-01094-20,99.98,143.75,99.54,B6-85,51215,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-03669-14,AF-21-03669-14,99.89,59.99,99.17,B6-85,51275,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05078-21,AF-21-05078-21,99.97,53.15,69.53,B6-85,51276,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05199-21,AF-21-05199-21,99.96,60.6,99.46,B6-85,51825,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05251-21,AF-21-05251-21,99.88,41.11,99.17,B6-85,51397,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05257-21,AF-21-05257-21,99.91,42.54,99.47,B6-85,51333,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05263-21,AF-21-05263-21,99.82,30.94,95.04,B6-85,51512,s3://s3-csu-003/v3-2/Results_10309_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05690-12,AF-21-05690-12,99.98,97.2,99.48,B6-85,51257,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05792-20,AF-21-05792-20,99.98,161.99,97.76,B6-85,51216,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05794-20,AF-21-05794-20,99.98,128.12,98.38,B6-85,51233,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-21-05818-20,AF-21-05818-20,99.98,84.16,90.33,B6-85,51236,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
AF-61-03434-20,AF-61-03434-20,99.94,51.1,86.97,B6-85,51186,s3://s3-csu-003/v3-2/Results_10287_27Jun22/,,,,,,,,,,,,,,,,,
